open,close,high,low,volume,price_change,price_limit,volume_change,volume_limit,amplitude,difference,time
302.15,298.9,320,289.0923,168064,-3.78,-0.012488437,-17078,-0.092242711,0.102113453,-0.010737412,2021/1/27 14:31
299.47,310,314.9919,280.51,175802,11.1,0.037136166,7738,0.046041984,0.115362663,0.035229174,2021/1/27 14:32
310,300,314,300,96516,-10,-0.032258065,-79286,-0.450996007,0.04516129,-0.032258065,2021/1/27 14:33
300,327.67,330,300,125936,27.67,0.092233333,29420,0.304819926,0.1,0.092233333,2021/1/27 14:34
330,310,330,310,66191,-17.67,-0.053926206,-59745,-0.474407636,0.061037019,-0.061037019,2021/1/27 14:35
310,310,312,310,60473,0,0,-5718,-0.086386367,0.006451613,0,2021/1/27 14:36
310,313,316,310,106285,3,0.009677419,45812,0.757561226,0.019354839,0.009677419,2021/1/27 14:37
312.5,290,312.52,287.95,120470,-23,-0.073482428,14185,0.133461918,0.078498403,-0.071884984,2021/1/27 14:38
291.17,294.72,301,285,73759,4.72,0.016275862,-46711,-0.387739686,0.055172414,0.012241379,2021/1/27 14:39
294.99,323.81,336.24,291.46,144494,29.09,0.098703855,70735,0.959001613,0.151940825,0.097787731,2021/1/27 14:40
328.2599,315.02,330,309.91,63739,-8.79,-0.027145548,-80755,-0.558881338,0.062042556,-0.040887866,2021/1/27 14:41
317.945,328.19,339.61,300,110997,13.17,0.041806869,47258,0.741429894,0.125738048,0.032521745,2021/1/27 14:42
326.67,305.01,339.98,293,3095265,-23.18,-0.070629818,2984268,26.88602395,0.143148786,-0.065998355,2021/1/27 14:43
305,312,324.98,298,535514,6.99,0.022917281,-2559751,-0.826989288,0.088456116,0.022950067,2021/1/27 14:44
312.6,306.33,320,303,353926,-5.67,-0.018173077,-181588,-0.339091042,0.054487179,-0.020096154,2021/1/27 14:45
307.9405,304.49,311.65,300,378970,-1.84,-0.006006594,25044,0.070760554,0.038030882,-0.011263996,2021/1/27 14:46
